month,n_releases
1980 Jan,39
1980 Feb,12
1980 Mar,17
1980 Apr,5
1980 May,6
1980 Jun,15
1980 Jul,9
1980 Aug,5
1980 Sep,9
1980 Oct,7
1980 Nov,11
1980 Dec,20
1981 Jan,40
1981 Feb,9
1981 Mar,14
1981 Apr,17
1981 May,4
1981 Jun,11
1981 Jul,11
1981 Aug,8
1981 Sep,13
1981 Oct,9
1981 Nov,10
1981 Dec,23
1982 Jan,44
1982 Feb,14
1982 Mar,16
1982 Apr,10
1982 May,16
1982 Jun,12
1982 Jul,10
1982 Aug,14
1982 Sep,9
1982 Oct,11
1982 Nov,6
1982 Dec,29
1983 Jan,37
1983 Feb,14
1983 Mar,11
1983 Apr,15
1983 May,13
1983 Jun,8
1983 Jul,11
1983 Aug,14
1983 Sep,8
1983 Oct,12
1983 Nov,13
1983 Dec,26
1984 Jan,57
1984 Feb,12
1984 Mar,15
1984 Apr,10
1984 May,12
1984 Jun,23
1984 Jul,12
1984 Aug,10
1984 Sep,22
1984 Oct,20
1984 Nov,10
1984 Dec,30
1985 Jan,61
1985 Feb,13
1985 Mar,17
1985 Apr,8
1985 May,9
1985 Jun,13
1985 Jul,8
1985 Aug,4
1985 Sep,14
1985 Oct,22
1985 Nov,11
1985 Dec,20
1986 Jan,67
1986 Feb,15
1986 Mar,13
1986 Apr,14
1986 May,19
1986 Jun,24
1986 Jul,13
1986 Aug,11
1986 Sep,13
1986 Oct,16
1986 Nov,13
1986 Dec,17
1987 Jan,70
1987 Feb,15
1987 Mar,19
1987 Apr,10
1987 May,13
1987 Jun,23
1987 Jul,16
1987 Aug,15
1987 Sep,20
1987 Oct,11
1987 Nov,13
1987 Dec,23
1988 Jan,67
1988 Feb,6
1988 Mar,19
1988 Apr,13
1988 May,9
1988 Jun,15
1988 Jul,17
1988 Aug,11
1988 Sep,28
1988 Oct,25
1988 Nov,19
1988 Dec,31
1989 Jan,52
1989 Feb,17
1989 Mar,15
1989 Apr,6
1989 May,7
1989 Jun,12
1989 Jul,16
1989 Aug,23
1989 Sep,15
1989 Oct,13
1989 Nov,16
1989 Dec,25
1990 Jan,67
1990 Feb,5
1990 Mar,8
1990 Apr,19
1990 May,9
1990 Jun,16
1990 Jul,11
1990 Aug,6
1990 Sep,16
1990 Oct,15
1990 Nov,13
1990 Dec,35
1991 Jan,64
1991 Feb,11
1991 Mar,11
1991 Apr,9
1991 May,11
1991 Jun,15
1991 Jul,3
1991 Aug,12
1991 Sep,18
1991 Oct,11
1991 Nov,18
1991 Dec,21
1992 Jan,51
1992 Feb,8
1992 Mar,8
1992 Apr,12
1992 May,6
1992 Jun,5
1992 Jul,11
1992 Aug,15
1992 Sep,9
1992 Oct,11
1992 Nov,15
1992 Dec,30
1993 Jan,42
1993 Feb,6
1993 Mar,5
1993 Apr,12
1993 May,8
1993 Jun,13
1993 Jul,10
1993 Aug,15
1993 Sep,6
1993 Oct,22
1993 Nov,19
1993 Dec,27
1994 Jan,65
1994 Feb,16
1994 Mar,13
1994 Apr,13
1994 May,15
1994 Jun,11
1994 Jul,19
1994 Aug,10
1994 Sep,20
1994 Oct,17
1994 Nov,15
1994 Dec,22
1995 Jan,58
1995 Feb,9
1995 Mar,12
1995 Apr,22
1995 May,27
1995 Jun,14
1995 Jul,16
1995 Aug,11
1995 Sep,16
1995 Oct,14
1995 Nov,14
1995 Dec,29
1996 Jan,61
1996 Feb,25
1996 Mar,18
1996 Apr,20
1996 May,9
1996 Jun,11
1996 Jul,11
1996 Aug,27
1996 Sep,22
1996 Oct,26
1996 Nov,24
1996 Dec,34
1997 Jan,67
